data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;6794;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQE3598;M. BENZ;O-500M;2009-10-02;2009;DIESEL
2021-05-30 02:00:54.782021;6702;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IOX3348;M. BENZ;OF 1722M;2008-07-16;2008;DIESEL
2021-05-30 02:00:54.782021;3347;SUDESTE TRANSPORTES COLETIVOS LTDA;IZQ5A03;M. BENZ;OF1519;2019-10-25;2019;DIESEL
2021-05-30 02:00:54.782021;4436;VIACAO ALTO PETROPOLIS LTDA;IOH4045;M. BENZ;O-500M 1725;2007-11-29;2007;DIESEL
2021-05-30 02:00:54.782021;6563;NORTRAN TRANSPORTES COLETIVOS LTDA;IUL9521;M. BENZ;O500MA;2013-06-29;2012;DIESEL
2021-05-30 02:00:54.782021;6497;NORTRAN TRANSPORTES COLETIVOS LTDA;IRB6985;M. BENZ;OF 1722M;2010-09-03;2010;DIESEL
2021-05-30 02:00:54.782021;6457;NORTRAN TRANSPORTES COLETIVOS LTDA;IPV6488;M. BENZ;OF 1722M;2009-06-23;2008;DIESEL
2021-05-30 02:00:54.782021;6486;NORTRAN TRANSPORTES COLETIVOS LTDA;ISR1527;M. BENZ;OF 1722;2012-01-04;2011;DIESEL
2021-05-30 02:00:54.782021;6434;NORTRAN TRANSPORTES COLETIVOS LTDA;ITH0271;M. BENZ;OF 1722;2012-07-09;2011;DIESEL
2021-05-30 02:00:54.782021;6419;NORTRAN TRANSPORTES COLETIVOS LTDA;IZQ0E53;M. BENZ;OF 1721L;2016-10-16;2019;DIESEL
